City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,san rafael,-34.6177,-68.3301,19.82,37,0,4.17,AR,1707790855
133,eureka,40.8021,-124.1637,11.63,87,100,0.45,US,1707790855
134,oranjemund,-28.55,16.4333,17.56,97,58,3.33,NA,1707790855
135,strathalbyn,-35.2667,138.9,29.25,44,51,6.8,AU,1707790855
136,kerikeri,-35.2268,173.9474,23.3,52,3,4.25,NZ,1707790855
137,cabedelo,-6.9811,-34.8339,26.37,79,54,4.86,BR,1707790855
138,crane,31.3974,-102.3501,10.87,30,0,2.18,US,1707790855
139,isafjordur,66.0755,-23.124,-1.46,90,100,6.99,IS,1707790855
140,gasa,31.5,34.4667,17.24,40,100,5.02,PS,1707790855
141,yuzhno-kurilsk,44.0306,145.8556,-0.35,74,14,3.08,RU,1707790855
142,malpura,26.2833,75.3833,13.31,46,55,2.3,IN,1707790855
143,ilhabela,-23.7781,-45.3581,26.44,79,43,2.43,BR,1707790855
144,huangshan,29.7114,118.3125,14.33,62,99,1.3,CN,1707790856
145,beloyarskiy,63.7119,66.6722,-36.67,100,41,0.45,RU,1707790856
146,muntok,-2.0667,105.1833,26.64,86,98,4.06,ID,1707790856
147,margate,51.3813,1.3862,5.94,85,100,2.24,GB,1707790856
148,az zubayr,30.3945,47.7011,11.92,87,0,2.57,IQ,1707790856
149,cidreira,-30.1811,-50.2056,23.66,90,100,1.91,BR,1707790856
150,bonny,4.4522,7.1681,27.56,90,4,4.42,NG,1707790856
151,bonthe,7.5264,-12.505,25.64,87,0,2.36,SL,1707790856
152,the hammocks,25.6715,-80.4445,25.01,88,100,3.6,US,1707790856
153,wellington,-41.2866,174.7756,24.43,60,24,11.83,NZ,1707790856
154,chibougamau,49.9168,-74.3659,-11.21,85,100,1.03,CA,1707790643
155,nova sintra,14.8667,-24.7167,19.99,81,100,6.17,CV,1707790856
156,playa del carmen,20.6274,-87.0799,26.09,93,40,0.0,MX,1707790856
157,archangelos,36.2149,28.1149,11.84,84,100,1.98,GR,1707790856
158,thompson,55.7435,-97.8558,-8.91,86,100,3.09,CA,1707790642
159,ulladulla,-35.35,150.4667,30.8,46,0,5.74,AU,1707790856
160,adigrat,14.277,39.462,11.91,29,5,1.12,ET,1707790857
161,acarau,-2.8856,-40.12,28.13,81,100,8.37,BR,1707790758
162,lihue,21.9789,-159.3672,25.77,66,0,5.14,US,1707790857
163,mersing,2.4312,103.8405,26.95,83,40,5.66,MY,1707790857
164,lycksele,64.5954,18.6735,-29.07,76,98,0.0,SE,1707790857
165,napili-honokowai,20.9708,-156.6705,26.64,70,0,3.3,US,1707790857
166,victorica,-36.2151,-65.4359,17.93,39,0,3.74,AR,1707790857
167,kodiak,57.79,-152.4072,5.73,75,100,7.72,US,1707790857
168,whitehorse,60.7161,-135.0538,-3.57,68,100,3.6,CA,1707790753
169,new norfolk,-42.7826,147.0587,26.07,20,12,5.15,AU,1707790857
170,yoro,15.1333,-87.1333,21.97,90,8,1.21,HN,1707790857
171,east london,-33.0153,27.9116,21.34,86,0,6.38,ZA,1707790857
172,monteagudo,-19.8167,-63.9833,19.69,99,100,0.17,BO,1707790857
173,punta arenas,-53.15,-70.9167,11.06,62,100,10.8,CL,1707790857
174,bouguenais,47.1776,-1.6214,9.37,100,100,2.06,FR,1707790858
175,belaya kholunitsa,58.84,50.8528,-17.65,100,94,1.81,RU,1707790858
176,codrington,-38.2667,141.9667,26.96,40,9,6.69,AU,1707790858
177,kone,-21.0595,164.8658,31.39,55,6,3.45,NC,1707790858
178,harstad,68.799,16.5293,-3.25,58,100,12.96,NO,1707790858
179,leua,48.2156,18.6071,8.05,87,100,3.86,SK,1707790858
180,bodo,67.28,14.405,-1.98,50,0,12.35,NO,1707790858
181,utrik,11.2278,169.8474,26.05,73,100,10.17,MH,1707790858
182,nalut,30.3333,10.85,16.71,47,86,6.62,LY,1707790858
183,hadibu,12.65,54.0333,25.49,72,22,4.85,YE,1707790858
184,linxia chengguanzhen,35.6003,103.2064,4.42,26,14,0.29,CN,1707790858
185,flying fish cove,-10.4217,105.6791,28.82,78,100,2.06,CX,1707790858
186,stutterheim,-32.5708,27.424,19.53,59,0,2.61,ZA,1707790858
187,dudinka,69.4058,86.1778,-37.4,99,48,1.79,RU,1707790858
188,ceeldheer,3.8488,47.1806,26.37,78,85,6.66,SO,1707790859
189,paragould,36.0584,-90.4973,3.96,90,99,4.02,US,1707790655
190,dhidhdhoo,6.8833,73.1,27.5,69,66,3.16,MV,1707790786
191,ujae,8.9322,165.7642,27.35,75,60,7.94,MH,1707790859
192,dryden,49.7833,-92.7503,-7.84,73,100,2.06,CA,1707790859
193,teknaf,20.8624,92.3058,21.15,44,73,1.77,BD,1707790859
194,cockburn town,21.4612,-71.1419,25.23,75,0,9.44,TC,1707790644
195,akureyri,65.6835,-18.0878,-0.04,93,100,6.17,IS,1707790859
196,fort bragg,35.139,-79.006,15.11,93,100,3.6,US,1707790859
197,turgen,43.4006,77.5933,-8.93,96,100,0.75,KZ,1707790859
198,coquimbo,-29.9533,-71.3436,17.85,88,100,2.57,CL,1707790790
199,tralee,52.2704,-9.7026,4.17,92,86,2.26,IE,1707790859
200,mapimi,25.8167,-103.85,9.7,20,0,2.69,MX,1707790859
201,praia da vitoria,38.7333,-27.0667,16.14,77,20,12.53,PT,1707790859
202,gubkinskiy,64.434,76.5026,-34.57,90,6,3.96,RU,1707790588
203,edinburgh of the seven seas,-37.0676,-12.3116,17.27,76,98,6.64,SH,1707790859
204,jamestown,42.097,-79.2353,-0.82,85,0,4.12,US,1707790749
205,mata-utu,-13.2816,-176.1745,28.82,80,97,7.8,WF,1707790860
206,villa gesell,-37.2639,-56.973,17.81,55,1,11.0,AR,1707790860
207,antofagasta,-23.65,-70.4,21.6,85,100,4.04,CL,1707790669
208,kanniyakumari,8.0833,77.5667,25.91,71,90,7.27,IN,1707790860
209,bytow,54.1706,17.4919,1.78,96,100,5.47,PL,1707790860
210,holualoa,19.6228,-155.9522,24.91,59,20,5.14,US,1707790648
211,egilsstadir,65.2653,-14.3948,0.95,93,100,4.12,IS,1707790860
212,sechura,-5.5569,-80.8222,27.55,64,95,6.2,PE,1707790860
213,elva,58.2225,26.4211,-3.77,91,100,7.72,EE,1707790860
214,saudarkrokur,65.7461,-19.6394,0.07,93,100,8.85,IS,1707790860
215,happy valley-goose bay,53.3168,-60.3315,-5.83,86,100,2.06,CA,1707790860
216,hohhot,40.8106,111.6522,2.16,48,0,1.0,CN,1707790860
217,hailar,49.2,119.7,-9.01,95,88,5.45,CN,1707790860
218,baardheere,2.3446,42.2764,25.89,70,11,3.41,SO,1707790860
219,mount pearl,47.5166,-52.7813,0.47,93,75,5.66,CA,1707790828
220,anadyr,64.75,177.4833,-29.72,74,0,3.58,RU,1707790861
221,cascais,38.6979,-9.4215,18.06,98,100,9.83,PT,1707790861
222,tamanrasset,22.785,5.5228,13.95,24,0,2.06,DZ,1707790861
223,newman,37.3138,-121.0208,14.13,72,52,0.45,US,1707790861
224,lianran,24.9227,102.485,11.3,59,0,3.12,CN,1707790861
225,kapuskasing,49.4169,-82.4331,-9.95,85,75,2.57,CA,1707790861
226,capitan bado,-23.2667,-55.5333,25.67,66,60,3.45,PY,1707790861
